iter	Accuracy	MultiClass
0	0.3260075329	2.650249553
1	0.4080188628	2.576464645
2	0.4581326909	2.514970898
3	0.4789342981	2.459889036
4	0.5056065898	2.403438801
5	0.5328554074	2.356287736
6	0.5407622152	2.322338193
7	0.5771611617	2.286275978
8	0.5735499896	2.2460623
9	0.5885345577	2.213632623
10	0.5966908605	2.176499386
11	0.5951013396	2.145758352
12	0.6051605245	2.113336081
13	0.6185874679	2.078796425
14	0.6323571396	2.047679678
15	0.6486271652	2.02390692
16	0.6389312283	1.989730907
17	0.6387996314	1.966819718
18	0.6348015455	1.944584384
19	0.6368848788	1.944214446
20	0.644783061	1.919442902
21	0.641628299	1.896410774
22	0.647252197	1.871547677
23	0.6388481472	1.848486718
24	0.6557106828	1.824450661
25	0.6646489208	1.800517305
26	0.6718468924	1.779794547
27	0.6805077063	1.748338082
28	0.679985389	1.724317369
29	0.679985389	1.721586755
30	0.6848281851	1.70492648
31	0.6877662193	1.686974102
32	0.6870539687	1.676096635
33	0.6927272007	1.656813787
34	0.6940499518	1.649774066
35	0.6968060523	1.632213795
36	0.6961887682	1.616068101
37	0.7057341444	1.594615967
38	0.7123224635	1.585583559
39	0.7063039449	1.575778217
40	0.7140032202	1.553470446
41	0.718871299	1.542738351
42	0.7179167284	1.528405781
43	0.7361239061	1.512525399
44	0.7301349245	1.499359468
45	0.720981994	1.490358853
46	0.7303457169	1.477332697
47	0.7261176315	1.466093994
48	0.7288711589	1.446213757
49	0.7337500762	1.433389739
50	0.7397577563	1.426146232
51	0.7407871135	1.424985456
52	0.7437877241	1.411548399
53	0.7430754734	1.404768969
54	0.7496315863	1.385003244
55	0.7560555413	1.372287763
56	0.7536196815	1.360089759
57	0.7578636929	1.349883688
58	0.7578636929	1.344871233
59	0.7625506189	1.328722465
60	0.7689605217	1.315897942
61	0.7613705251	1.304915203
62	0.7745958256	1.296671479
63	0.7714771996	1.283429501
64	0.7741837524	1.269077644
65	0.7760356043	1.259375534
66	0.7794416888	1.247727032
67	0.7812935407	1.236113475
68	0.7863199958	1.227232499
69	0.791980015	1.210461201
70	0.7924321392	1.196608657
71	0.7991796972	1.18119555
72	0.7969157721	1.16677834
73	0.8026192045	1.156205374
74	0.8064245119	1.143937237
75	0.8082263137	1.141582875
76	0.8084577951	1.129817933
77	0.8094608816	1.120330115
78	0.8113127335	1.108779386
79	0.8227489362	1.095473577
80	0.8319479933	1.082563625
81	0.8299810319	1.066117727
82	0.8332548186	1.053007995
83	0.8372488492	1.03854993
84	0.8391536111	1.026630773
85	0.8372195029	1.010281884
86	0.8364370592	0.9984936696
87	0.8389002596	0.9865477786
88	0.8486438495	0.9754931828
89	0.8507271828	0.9709422953
90	0.8557477025	0.9604219945
91	0.8572029132	0.9524143532
92	0.8551136445	0.9398088353
93	0.8628885394	0.9296927798
94	0.8557838385	0.9192990563
95	0.8528517397	0.9058637397
96	0.8596186449	0.8961134838
97	0.8670972775	0.8844470754
98	0.8689813356	0.8797814797
99	0.8704306109	0.8716677085
100	0.8704306109	0.8694871064
101	0.8712793763	0.8649051661
102	0.8797989565	0.8543514041
103	0.8816508084	0.8460706143
104	0.8833602102	0.8384742328
105	0.8851620119	0.8290664728
106	0.8843073111	0.8189268346
107	0.8843073111	0.8162755176
108	0.885525105	0.8093262725
109	0.8894375807	0.8032290413
110	0.8911469824	0.7981184945
111	0.8920016832	0.7911083472
112	0.8892951305	0.7836215165
113	0.8892951305	0.7757902228
114	0.8924697336	0.7696922353
115	0.8933244344	0.7619547408
116	0.8933244344	0.7570201436
117	0.8933244344	0.7534192337
118	0.8947737097	0.7471781642
119	0.8939190089	0.7391452179
120	0.8993623149	0.7337446752
121	0.9008342998	0.7285861471
122	0.899170317	0.7232165263
123	0.899170317	0.7211919001
124	0.9020688677	0.7153879201
125	0.9067163036	0.7108157828
126	0.9077857119	0.7064221278
127	0.9077857119	0.7006174358
128	0.9077857119	0.6939113354
129	0.9077857119	0.6886710494
130	0.9115843823	0.68477458
131	0.9115843823	0.6797154999
132	0.9122545764	0.6740838341
133	0.9143438451	0.6687378925
134	0.9157931204	0.6668450512
135	0.9197342411	0.6622895047
136	0.9176449724	0.6601172374
137	0.9190942477	0.6551240265
138	0.9220541433	0.6517266434
139	0.9253552706	0.6474215567
140	0.9272071223	0.6424885839
141	0.9247379866	0.6370640528
142	0.9247379866	0.6328542736
143	0.9247379866	0.6303186656
144	0.9259725544	0.6264780639
145	0.9259725544	0.6230862412
146	0.9272071223	0.6209873415
147	0.9272071223	0.6160999525
148	0.9280618232	0.6125685256
149	0.9259725544	0.6094900677
150	0.9292736817	0.6043224171
151	0.930722957	0.5990844914
152	0.9315776579	0.5946309553
153	0.9324323588	0.5907486348
154	0.9336669266	0.5885112448
155	0.9328122258	0.5853375722
156	0.9328122258	0.5822891873
157	0.9353763284	0.5789535066
158	0.9353763284	0.5739699006
159	0.9353763284	0.569531761
160	0.9353763284	0.5685279614
161	0.9362310292	0.5656801258
162	0.9394056323	0.5607525762
163	0.9394056323	0.5584396838
164	0.9402603332	0.5547768916
165	0.9402603332	0.5523882516
166	0.9402603332	0.5510033919
