iter	Passed	Remaining
0	120	60353
1	275	68682
2	402	66688
3	520	64599
4	637	63100
5	779	64152
6	921	64901
7	1056	65004
8	1223	66736
9	1458	71467
10	1602	71239
11	1736	70637
12	1877	70317
13	2007	69688
14	2035	65824
15	2175	65815
16	2319	65895
17	2435	65225
18	2553	64652
19	2704	64902
20	2824	64430
21	2852	61975
22	2860	59317
23	2970	58923
24	3020	57384
25	3028	55216
26	3175	55621
27	3291	55483
28	3409	55375
29	3530	55311
30	3665	55451
31	3792	55461
32	3912	55369
33	4044	55431
34	4170	55401
35	4302	55451
36	4447	55654
37	4456	54181
38	4589	54252
39	4618	53114
40	4751	53189
41	4869	53097
42	4899	52071
43	5072	52564
44	5202	52599
45	5320	52513
46	5449	52523
47	5573	52482
48	5704	52501
49	5830	52477
50	5953	52414
51	6091	52484
52	6247	52693
53	6369	52611
54	6494	52543
55	6643	52674
56	6781	52704
57	6920	52735
58	7057	52752
59	7193	52751
60	7375	53081
61	7569	53474
62	7684	53303
63	7822	53287
64	7958	53263
65	8092	53213
66	8219	53118
67	8356	53090
68	8481	52977
69	8642	53086
70	8827	53335
71	9002	53514
72	9176	53673
73	9334	53737
74	9482	53736
75	9637	53769
76	9773	53692
77	9926	53704
78	10065	53639
79	10180	53445
80	10323	53403
81	10467	53359
82	10602	53265
83	10728	53132
84	10852	52983
85	10978	52847
86	11102	52702
87	11244	52643
88	11375	52531
89	11511	52439
90	11644	52337
91	11761	52160
92	11879	51990
93	12014	51891
94	12133	51725
95	12264	51611
96	12390	51477
97	12532	51406
98	12663	51295
99	12775	51101
100	12890	50922
101	13022	50812
102	13155	50704
103	13298	50636
104	13439	50558
105	13563	50415
106	13699	50316
107	13829	50196
108	13940	50006
109	14060	49850
110	14201	49770
111	14334	49658
112	14559	49861
113	14687	49729
114	14811	49584
115	14952	49497
116	15096	49417
117	15227	49296
118	15363	49188
119	15491	49055
120	15611	48899
121	15775	48878
122	15927	48818
123	16077	48750
124	16201	48605
125	16342	48507
126	16459	48341
127	16596	48234
128	16722	48091
129	16838	47923
130	16983	47838
131	17120	47729
132	17279	47679
133	17542	47914
134	17728	47932
135	17920	47964
136	18096	47949
137	18277	47945
138	18456	47933
139	18642	47937
140	18772	47795
141	18922	47705
142	19059	47582
143	19191	47445
144	19325	47314
145	19453	47168
146	19592	47049
147	19731	46928
148	19848	46756
149	19979	46617
150	20116	46493
151	20264	46395
152	20425	46324
153	20571	46218
154	20715	46108
155	20852	45982
156	20979	45834
157	21111	45697
158	21249	45572
159	21391	45457
160	21585	45449
161	21742	45362
162	21881	45239
163	22024	45124
164	22155	44981
165	22285	44839
166	22411	44688
167	22538	44541
168	22666	44394
169	22805	44269
170	22940	44137
171	23055	43966
172	23194	43841
173	23341	43731
174	23483	43611
175	23621	43484
176	23744	43331
177	23878	43196
178	24015	43066
179	24152	42937
180	24286	42802
181	24414	42658
182	24550	42527
183	24691	42405
184	24827	42273
185	24971	42155
186	25106	42022
