iter	Accuracy	MultiClass
0	0.3577871423	2.611494425
1	0.4142391739	2.533464915
2	0.4979482874	2.463580089
3	0.533131784	2.392873718
4	0.5741774485	2.330851967
5	0.5817856902	2.271513448
6	0.5768154216	2.206941761
7	0.5974365136	2.152231411
8	0.5907532222	2.096868428
9	0.5957622636	2.05729404
10	0.6065059489	2.020114067
11	0.612080876	1.986443381
12	0.62963421	1.945963308
13	0.6349589008	1.91362691
14	0.6453961025	1.874570413
15	0.6575941359	1.83662672
16	0.6600790735	1.803627193
17	0.655119145	1.760899905
18	0.6582314648	1.724806342
19	0.6734422873	1.705084184
20	0.6782730549	1.673253059
21	0.6812110891	1.648750805
22	0.6826108166	1.625051244
23	0.6957018998	1.596732863
24	0.7006797455	1.5743278
25	0.7002351123	1.547454089
26	0.7025549307	1.519290547
27	0.7222499706	1.494682808
28	0.724490742	1.470655767
29	0.7196893535	1.450011123
30	0.7259998339	1.429345563
31	0.7282811005	1.410819976
32	0.7408003189	1.398103947
33	0.7368442497	1.385218539
34	0.7579542441	1.363488502
35	0.7664055726	1.345622024
36	0.7626414825	1.33177053
37	0.7619653531	1.317990374
38	0.7641015964	1.30508805
39	0.7651348687	1.291398178
40	0.7661320198	1.275084174
41	0.7628050255	1.260706703
42	0.7653829834	1.24557404
43	0.7672348353	1.224006556
44	0.7704966197	1.209347071
45	0.779780653	1.194840136
46	0.7776973197	1.18611628
47	0.7740679047	1.170670337
48	0.7751827319	1.159112433
49	0.7733415779	1.147357027
50	0.7806680948	1.134027385
51	0.7819026626	1.121819104
52	0.7843808914	1.110926043
53	0.7887595678	1.098110939
54	0.7841482371	1.087897475
55	0.783785144	1.079528642
56	0.7847321137	1.071242891
57	0.7877851263	1.061041262
58	0.7917203116	1.051726402
59	0.7972390816	1.037731283
60	0.7905973435	1.027698249
61	0.7986576475	1.018317355
62	0.7935294423	1.007769332
63	0.7947640102	0.9972519299
64	0.8055448022	0.9885500606
65	0.8129769836	0.9788183138
66	0.8152750244	0.9730483978
67	0.8084433529	0.9625044674
68	0.8125491308	0.9536436918
69	0.8241637737	0.9448479087
70	0.8218597975	0.9353610331
71	0.8242561737	0.9271976799
72	0.8251108746	0.9169930026
73	0.829590453	0.9093783366
74	0.8312998547	0.9030358888
75	0.8367372253	0.8964127788
76	0.8358825244	0.8869362504
77	0.8367372253	0.8779805471
78	0.8367372253	0.8694803929
79	0.838918894	0.8656978569
80	0.8410081628	0.8610195287
81	0.8476303817	0.8506157261
82	0.8446923475	0.8431070811
83	0.8480102487	0.8383501628
84	0.8554208139	0.8350785836
85	0.8547867559	0.8279863062
86	0.853552188	0.8182354126
87	0.8566386078	0.8117295699
88	0.8583420741	0.8050040991
89	0.8633332558	0.7988630472
90	0.8633332558	0.791819767
91	0.8664196756	0.7851089971
92	0.8664196756	0.7809134209
93	0.8699522843	0.7770012162
94	0.8741081124	0.7685466921
95	0.8741416606	0.7628862543
96	0.8821370734	0.7600686407
97	0.8842263422	0.7531918138
98	0.8860781941	0.7470190083
99	0.8848436262	0.7415631443
100	0.8884912133	0.73530576
101	0.8934790327	0.7308818667
102	0.8965654525	0.7264296421
103	0.8974201534	0.7207879225
104	0.8961855855	0.7148786013
105	0.8982748542	0.7084333949
106	0.8982748542	0.703662936
107	0.9009586974	0.7000243614
108	0.8986379473	0.6934476943
