iter	Passed	Remaining
0	53	9988
1	106	9832
2	158	9730
3	209	9579
4	261	9519
5	315	9525
6	368	9488
7	420	9415
8	471	9317
9	524	9276
10	575	9201
11	627	9148
12	678	9083
13	729	9012
14	780	8951
15	833	8911
16	892	8926
17	943	8855
18	993	8788
19	1045	8733
20	1100	8698
21	1153	8651
22	1205	8593
23	1256	8532
24	1309	8485
25	1365	8456
26	1420	8419
27	1480	8406
28	1531	8344
29	1584	8290
30	1639	8251
31	1691	8194
32	1743	8136
33	1798	8092
34	1851	8042
35	1904	7987
36	1955	7928
37	2007	7870
38	2062	7828
39	2113	7765
40	2163	7704
41	2217	7656
42	2269	7600
43	2322	7549
44	2375	7496
45	2426	7437
46	2480	7389
47	2531	7329
48	2581	7270
49	2632	7212
50	2683	7155
51	2735	7100
52	2787	7048
53	2844	7006
54	2894	6945
55	2944	6888
56	2993	6827
57	3047	6778
58	3103	6733
59	3155	6678
60	3208	6627
61	3257	6567
62	3313	6520
63	3365	6468
64	3421	6421
65	3523	6459
66	3616	6476
67	3669	6422
68	3722	6366
69	3775	6310
70	3828	6255
71	3881	6200
72	3932	6140
73	3986	6087
74	4040	6033
75	4097	5984
76	4153	5933
77	4209	5882
78	4264	5829
79	4317	5775
80	4370	5719
81	4424	5665
82	4477	5610
83	4529	5553
84	4580	5496
85	4632	5440
86	4686	5386
87	4746	5340
88	4798	5284
89	4854	5231
90	4905	5175
91	4958	5119
92	5010	5064
93	5061	5007
94	5113	4952
95	5165	4896
96	5219	4843
97	5270	4786
98	5320	4729
99	5371	4673
100	5422	4617
101	5472	4560
102	5521	4502
103	5572	4447
104	5623	4391
105	5676	4337
106	5726	4281
107	5778	4226
108	5830	4172
109	5880	4116
110	5929	4060
111	5981	4005
112	6035	3952
113	6086	3897
114	6137	3842
115	6186	3786
116	6240	3733
117	6293	3680
118	6343	3625
119	6399	3572
120	6450	3518
121	6500	3463
122	6551	3408
123	6600	3353
124	6653	3300
125	6713	3250
126	6783	3204
127	6850	3157
128	6902	3103
129	6954	3049
130	7009	2996
131	7065	2943
132	7118	2890
133	7174	2837
134	7226	2783
135	7367	2762
136	7428	2711
137	7481	2656
138	7529	2600
139	7579	2544
140	7629	2489
141	7682	2434
142	7735	2380
143	7791	2326
144	7846	2272
145	7898	2218
146	7952	2164
147	8005	2109
148	8060	2055
149	8111	2000
150	8161	1945
151	8213	1891
152	8266	1836
153	8318	1782
154	8369	1727
155	8423	1673
156	8474	1619
157	8527	1565
158	8578	1510
159	8629	1456
160	8680	1401
161	8728	1347
162	8798	1295
163	8871	1244
164	8940	1192
165	9013	1140
166	9064	1085
167	9115	1030
168	9166	976
169	9215	921
170	9264	866
171	9313	812
172	9364	757
173	9412	703
174	9462	648
175	9511	594
176	9562	540
177	9612	486
178	9662	431
179	9712	377
180	9764	323
181	9815	269
182	9865	215
183	9921	161
184	9974	107
185	10025	53
186	10075	0
